urn,dhlabid,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp
URN:NBN:no-nb_digibok_2006120501037,100569912.0,Reise-Erindringer og Reise-Indberetninger 1842-1847,"Aasen , Ivar / Koht , Halvdan",oai:nb.bibsys.no:999406910864702202,ed755af21a68c18bbd23a57626a5935b,,Trondhjem,19170101.0,1917.0,[s.n.],nob,Norsk språk / Dialekter / Reiser / Norge / Norsk språk / Historisk framstilling / Forskning / Nynorsk språk / Reiseskildringer / norge / forskningshistorie / norsk / språk / reiseskildringer / 1800 / tallet / nynorsk,,,Uklassifisert,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2007110600049,100500833.0,Sunnmørsgrammatikkane av Ivar Aasen,"Aasen , Ivar / Nes , Oddvar / Aarset , Terje / Aasen , Ivar",oai:nb.bibsys.no:999205389404702202,b1bfb2f745e00a8ff4a49c44cda14e10,8290186827 / 8290186835,,19920101.0,1992.0,Selskapet,nno,Norsk språk / Sunnmørsmål / Grammatikk / Dialekter / norsk / språk / sunnmørsgrammatikk / dialekter / møre / romsdal / sunnmøre / nynorsk / sunnmørsdialekt / grammatikk / dialektar,439.82739 / 439.827948391,,Faglitteratur,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2008040800072,100481031.0,Skrifter i samling : trykt og utrykt . 3,"Aasen , Ivar",oai:nb.bibsys.no:999317126964702202,286a08a16e771941bad64e12b58e7fab,,Kristiania,19120101.0,1912.0,"Gyldendalske Boghandel, Nordisk Forlag",nno,norsk / nynorsk / litteratur / språk,,,Uklassifisert,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2010061806033,100008225.0,Dikting,"Aasen , Ivar",oai:nb.bibsys.no:997521390884702202,0edec29461cda820a838d0e139e9d00c,,Oslo,19460101.0,1946.0,Gyldendal,mul / nob / nno,nynorsk / norsk / litteratur / 1800-tallet/ii / dikt / norske / skjønnlitteratur / språk,,,Uklassifisert,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2011040508147,100535717.0,Henrik Ibsens skrifter . 1 : Catilina ( 1850 ) ; Catilina ( 1875 ) ; Kjæmpehøien ( 1850 ) ; Kjæmpehøien ( 1854 ) ; Norma ; Sancthansnatten,"Ibsen , Henrik / Ystad , Vigdis / Janss , Christian",oai:nb.bibsys.no:990600822164702202,b7ad880c0370c04e8229b732c1544f26,8203189555 / 8203189849 / 8203189814,Oslo,20050101.0,2005.0,[Universitetet i Oslo],nob,norske / skuespill / 1800-tallet / drama,839.822,fiction,Skjønnlitteratur,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2011040508148,100538545.0,Henrik Ibsens skrifter . 12 : Brev 1844-1871,"Ibsen , Henrik / Ystad , Vigdis / Fulsås , Narve / Janss , Christian",oai:nb.bibsys.no:990601518034702202,f3b9cddaf8a1837af19e04e5dbe34fb0,8203190103 / 8203189458 / 8203189814,Oslo,20050101.0,2005.0,[Universitetet i Oslo],nob,norske / skuespill / 1800-tallet / drama,839.822,letter,Faglitteratur,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2011061708062,100542693.0,Henrik Ibsens skrifter . 4 : Svanhild ; Kjærlighedens komedie ; Kongs-emnerne,"Ibsen , Henrik / Ystad , Vigdis",oai:nb.bibsys.no:990801754144702202,ef963a4d7ad20d96d8a881f2d6c70108,8203189547 / 8203189636 / 8203189814,Oslo,20080101.0,2008.0,[Universitetet i Oslo],nob,norske / skuespill / 1800-tallet / drama,839.82s / 839.822,drama,Skjønnlitteratur,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2011061708155,100542768.0,Henrik Ibsens skrifter . 2 : Gildet paa Solhoug ( 1856 ) ; Gildet på Solhaug ( 1883 ) ; Rypen i Justedal ; Olaf Liljekrans ( 1857 ) ; Olaf Liljekrans ( 1902 ) ; Fjeldfuglen ; Olaf Liljekrans ( 1877 / 78 ) ],"Ibsen , Henrik / Ystad , Vigdis",oai:nb.bibsys.no:990609739194702202,9bde2e808695a8a6c04a74dccef77a88,8203189571 / 8203190006 / 8203189814,Oslo,20060101.0,2006.0,[Universitetet i Oslo],nob,norske / skuespill,839.822,fiction,Skjønnlitteratur,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2011061708156,100542769.0,Henrik Ibsens skrifter . 3 : Fru Inger til Østeraad ( 1857 ) ; Fru Inger til Østråt ( 1874 ) ; Hærmændene paa Helgeland ( 1858 ) ; Hærmændene på Helgeland ( 1893 ),"Ibsen , Henrik / Ystad , Vigdis / Janss , Christian / Bøe , Hilde / Wiger , Ellen Nessheim",oai:nb.bibsys.no:990610088004702202,108b42e66b6a6f96ee06404a2e91b75c,8203189598 / 8203190014 / 8203189814,Oslo,20060101.0,2006.0,[Universitetet i Oslo],nob,norske / skuespill / 1850-tallet,839.822,fiction,Skjønnlitteratur,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2011062708033,100544647.0,Henrik Ibsens skrifter . 11 : Dikt,"Ibsen , Henrik / Ystad , Vigdis / Janss , Christian / Taugbøl , Stine Brenna / Wiger , Ellen Nessheim",oai:nb.bibsys.no:991002464354702202,0b00adf4dbd448568e5874ae5f9d81ae,,Oslo,20090101.0,2009.0,[Universitetet i Oslo],nob,norske / skuespill / 1800-tallet / drama,829.822,poetry,Skjønnlitteratur,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2011091208031,100055374.0,Henrik Ibsens skrifter . 5 : Episk Brand ( 1864 / 65 ) ; Brand ( 1866 ) ; Peer Gynt ( 1867 ),"Ibsen , Henrik / Ystad , Vigdis",oai:nb.bibsys.no:990707950454702202,7397db0c8a04ba3a83a34f063fc0ba1b,8203189881 / 8203190022 / 8203189814,Oslo,20070101.0,2007.0,[Universitetet i Oslo],nob,norske / skuespill / 1800-tallet / drama,839.822,fiction,Skjønnlitteratur,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2011111605037,100070895.0,"Ny Samling af norske Ord og Talemaader , 1806-1808 ; med et anhang","Lundh , Gregers Fougner",oai:nb.bibsys.no:998020087044702202,58f29596635cf811f633b31889095181,,Oslo,19540101.0,1954.0,[s.n.],mul / nno / nob,norske / ord / talemål / norsk / språk / dialekter,,,Uklassifisert,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2012051805111,100071871.0,Henrik Ibsens skrifter . 16 : Sakprosa,"Ibsen , Henrik / Janss , Christian / Ystad , Vigdis",oai:nb.bibsys.no:991119062104702202,71f9e6f983531e8293c9eff8a34ec28e,,Oslo,20100101.0,2010.0,[Universitetet i Oslo],nob,norske / skuespill / 1800-tallet / drama,839.82s / 839.822,fiction,Skjønnlitteratur,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2012071305013,100102006.0,Ervingen : songspel i ei vending,"Aasen , Ivar / Thorson , Per",oai:nb.bibsys.no:999404785954702202,f647cff9ad49f185b50041027ce3136b,,Oslo,19490101.0,1949.0,Gyldendal,nno,norsk / nynorsk / litteratur / skjønnlitteratur / skodespel,,,Uklassifisert,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2012101507055,100114358.0,Samlede Digterverker . B. 3,"Welhaven , J. S. ( Johan Sebastian )",oai:nb.bibsys.no:999316331414702202,31789277529cdfeebea8b1b0ae5c6315,,Kristiania,19070101.0,1907.0,Gyldendalske Boghandel,nob,,,poetry,Skjønnlitteratur,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2017080207028,100346794.0,Til og fra Amerika : Skizzer,"Meltzer , H. / Bloch , A. ( Andreas )",oai:nb.bibsys.no:998121224534702202,840beba546ae95094c2e149811896e96,,Kristiania,19070101.0,1907.0,Cammermeyer,nob,Amerikabrev / Emigranthistorie / Indianere / Pionerliv / Utvandring / norge / usa / utvandring / hjemvandring / amerikabrev / pionerliv / indianere / emigrasjon / immigrasjon / 1850 / california / gullrush / emigranthistorie,,,Uklassifisert,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2018021948006,100364575.0,"Andhrimner : ( "" Manden "" )","Botten-Hansen , Paul / Ibsen , Henrik / Vinje , A. O. ( Aasmund Olavsson )",oai:nb.bibsys.no:999111845204702202,1c5ffb3e5eee3a03f4de0249554972b8,,Oslo,19570101.0,1957.0,Hovedkommisjon: Tanum,nob,,058.1,,Faglitteratur,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2020022048003,100484948.0,Foraarsgave for Damer,"Monsen , Chr . / Borg , Thorkild",oai:nb.bibsys.no:990313612184702202,bef7a63f78fb1b98e6accd652b601c53,,,18490101.0,1849.0,Trykt hos Thorkild Borg,dan,Norsk litteratur,,fiction,Skjønnlitteratur,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2021042048514,100584416.0,Symra : tvo tylfter med visor og rim,"Aasen , Ivar",oai:nb.bibsys.no:999421293004702202,e5d0a398b2137c6061748a46c3d6b675,,Kristiania,1922.0,1922.0,Gyldendalske Bokhandel,nno,norsk / nynorsk / språk / litteratur / skjønnlitteratur / dikt,,,Uklassifisert,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2021042148807,100440317.0,Norsk tro og tanke . B. 2 : 1800-1940,,oai:nb.bibsys.no:999825325634702202,a51aed33dd72398bf66315f6def736d2,8215001726 / 8251838118 / 8251838096,,19980101.0,1998.0,Tano Aschehoug,mul / nob / nno / dan,Mentalitet / Historisk framstilling / Religiøs tro / Kristentro / Ideer (Filosofi) / Kulturhistorie / idéhistorie / kristentro / religiøs / tro / norge / kulturhistorie / filosofi / historie / kultur / religion / etikk / norsk / litteratur / antologi / Idéhistorie,948.1,,Faglitteratur,digibok,nb,20060101.0
URN:NBN:no-nb_digibok_2021121448574,100604100.0,Salmer,"Landstad , M. B. / Baklid , Herleik / Haavik , Åge / Aschim , Per Kristian / Aschim , Anders / Baasland , Ernst",oai:nb.bibsys.no:999920079479002202,ebcbd7c60f2d7e8d66cfb35d4b8d2019,,,2020.0,2020.0,Novus forlag,nob,Salmer / Kulturhistorie / Kulturhistorie / Folkeminne / Folkeminne / Salmer / Salmar,264.23,bibliography / biography / tekst,Faglitteratur,digibok,nb,20060101.0
URN:NBN:no-nb_digitidsskrift_2014092382073_001,300186128.0,Syn & segn ( trykt utg. ) . 1909 Vol . 15,,oai:urn.nb.no:no-nb_digitidsskrift_2014092382073_001,f7acf7fe3dcfecd6baa2324d1d634692,,Oslo,1909.0,1909.0,Samlaget,nno,Nynorsk språk / Norsk litteratur / Kultur / Norge / Cultural values / Cultural heritage / Norway / norsk / litteratur / tidsskrift / norskfag / samfunnsliv / språk / tfti / tidsskrifter / løpende / humanistisk / norske / forskning,,periodical,Uklassifisert,digitidsskrift,nb,20060101.0
URN:NBN:no-nb_digitidsskrift_2016060981022_001,300149622.0,Annaler for Nordisk Oldkyndighed og Historie . 1846,,oai:urn.nb.no:no-nb_digitidsskrift_2016060981022_001,6b524d2f7c9d448401435c44cd92ed22,,Kjøbenhavn,1846.0,1846.0,Selskabet,dan,Norden / Danmark / Årbøker / Historie / Arkeologi / Arkeologi / tidsskrifter,,,Uklassifisert,digitidsskrift,nb,20060101.0
